节点,荷载工况,FX,FY,FZ,MX,MY,MZ,组
2,自重,0,0,-304.98,0,0,0,端隔板
23,自重,0,0,-1659.45,0,0,0,0#隔板
39,自重,0,0,-147.03,0,0,0,跨中隔板
55,自重,0,0,-1659.45,0,0,0,0#隔板
76,自重,0,0,-304.98,0,0,0,端隔板
6,施工阶段荷载,0,0,-556.64,0,0,0,边跨吊架
6,施工阶段荷载,0,0,-329.94,0,0,0,边跨压重
8,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮12
8,施工阶段荷载,0,0,-329.94,0,0,0,边跨压重
8,施工阶段荷载,0,0,-556.64,0,0,0,边跨吊架
9,施工阶段荷载,0,0,-1330.11,0,-2660.22,0,混凝土湿重12
9,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮11
10,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮10
10,施工阶段荷载,0,0,-1358.99,0,-2717.98,0,混凝土湿重11
11,施工阶段荷载,0,0,-1404.63,0,-2809.27,0,混凝土湿重10
11,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮9
12,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮8
12,施工阶段荷载,0,0,-1467.9,0,-2935.8,0,混凝土湿重9
13,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮7
13,施工阶段荷载,0,0,-1549.61,0,-3099.22,0,混凝土湿重8
14,施工阶段荷载,0,0,-1650.63,0,-3301.25,0,混凝土湿重7
14,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮6
15,施工阶段荷载,0,0,-1542.61,0,-2699.57,0,混凝土湿重6
15,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮5
16,施工阶段荷载,0,0,-1649.38,0,-2886.41,0,混凝土湿重5
16,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮4
17,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮3
17,施工阶段荷载,0,0,-1770.66,0,-3098.66,0,混凝土湿重4
18,施工阶段荷载,0,0,-1113.29,0,0,0,挂篮2
