节点,X(m),Y(m),Z(m)
1,-70,0,0
2,-68.5,0,0
3,-64.5,0,0
4,-60,0,0
5,-55.5,0,0
6,-51,0,0
7,-50,0,0
8,-49,0,0
9,-45,0,0
10,-41,0,0
11,-37,0,0
12,-33,0,0
13,-29,0,0
14,-25,0,0
15,-21.5,0,0
16,-18,0,0
17,-14.5,0,0
18,-11,0,0
19,-7.5,0,0
20,-4,0,0
21,-2.25,0,0
22,-1.25,0,0
23,0,0,0
24,1.25,0,0
25,2.25,0,0
26,4,0,0
27,7.5,0,0
28,11,0,0
29,14.5,0,0
30,18,0,0
31,21.5,0,0
32,25,0,0
33,29,0,0
34,33,0,0
35,37,0,0
36,41,0,0
37,45,0,0
38,49,0,0
39,50,0,0
40,51,0,0
41,55,0,0
42,59,0,0
43,63,0,0
44,67,0,0
45,71,0,0
46,75,0,0
47,78.5,0,0
48,82,0,0
49,85.5,0,0
50,89,0,0
51,92.5,0,0
52,96,0,0
53,97.75,0,0
54,98.75,0,0
55,100,0,0
56,101.25,0,0
57,102.25,0,0
58,104,0,0
59,107.5,0,0
60,111,0,0
61,114.5,0,0
62,118,0,0
63,121.5,0,0
64,125,0,0
65,129,0,0
66,133,0,0
67,137,0,0
68,141,0,0
69,145,0,0
70,149,0,0
71,150,0,0
72,151,0,0
73,155.5,0,0
74,160,0,0
75,164.5,0,0
76,168.5,0,0
77,170,0,0
